date,sale
1399-09-22,310.5278015136719
1399-09-23,344.539794921875
1399-09-24,370.44598388671875
1399-09-25,399.0447082519531
1399-09-26,430.74725341796875
1399-09-27,449.03399658203125
1399-09-28,434.1505432128906
1399-09-29,390.77838134765625
1399-09-30,364.0264892578125
1399-10-01,377.7662353515625
1399-10-02,398.9212646484375
1399-10-03,413.8905944824219
1399-10-04,428.47332763671875
1399-10-05,433.2538757324219
1399-10-06,432.064208984375
1399-10-07,438.0716247558594
1399-10-08,455.16168212890625
1399-10-09,478.2694396972656
1399-10-10,499.82171630859375
1399-10-11,511.7434997558594
1399-10-12,511.9281921386719
1399-10-13,510.8636474609375
1399-10-14,519.2258911132812
1399-10-15,532.7937622070312
1399-10-16,543.3366088867188
1399-10-17,542.9522705078125
1399-10-18,527.2490234375
1399-10-19,516.426513671875
1399-10-20,518.5382690429688
1399-10-21,528.584716796875
